scenario,strategy,repeat,total_time_ms,successful,failed,timeouts,total_requests,avg_wait_ms,max_wait_ms,total_wait_ms,avg_elapsed_ms,variance_ms
B_large,fixed,1,16906.39,50,0,0,50,1732.86,13591.97,86642.96,898.8,0.0
B_large,fixed,2,18396.9,50,0,0,50,1565.9,13438.74,78295.09,946.3,0.0
B_large,fixed,3,17201.23,50,0,0,50,1525.12,12216.78,76256.23,872.54,0.0
B_large,fixed,4,16732.15,50,0,0,50,1597.13,12828.75,79856.73,873.78,0.0
B_large,fixed,5,17708.78,50,0,0,50,1638.33,13500.62,81916.34,929.8,0.0
B_large,timeout_race,1,4790.46,50,0,0,50,0.0,0.0,0.0,947.1,0.0
B_large,timeout_race,2,5032.5,49,1,1,50,0.0,0.0,0.0,946.81,0.0
B_large,timeout_race,3,4900.22,50,0,0,50,0.0,0.0,0.0,947.65,0.0
B_large,timeout_race,4,4947.42,50,0,0,50,0.0,0.0,0.0,972.8,0.0
B_large,timeout_race,5,5016.46,49,1,1,50,0.0,0.0,0.0,998.99,0.0
B_large,adaptive,1,5029.75,50,0,0,50,0.0,0.01,0.05,901.7,0.0
B_large,adaptive,2,4789.44,50,0,0,50,0.0,0.01,0.08,899.94,47844.62
B_large,adaptive,3,5100.23,50,0,0,50,0.01,0.33,0.37,973.81,59993.43
B_large,adaptive,4,4777.47,50,0,0,50,0.0,0.02,0.06,912.78,62310.65
B_large,adaptive,5,4869.99,50,0,0,50,0.0,0.02,0.23,995.84,57811.12
